Time - Fc (N),Amplitude - Fc (N)
2.244,0.286462
2.246,0.305541
2.248,0.324482
2.25,0.343276
2.252,0.361915
2.254,0.380388
2.256,0.398688
2.258,0.416806
2.26,0.434733
2.262,0.452461
2.264,0.46998
2.266,0.487283
2.268,0.504362
2.27,0.521207
2.272,0.537811
2.274,0.554165
2.276,0.570263
2.278,0.586095
2.28,0.601654
2.282,0.616933
2.284,0.631924
2.286,0.646619
2.288,0.661012
2.29,0.675095
2.292,0.688862
2.294,0.702304
2.296,0.715417
2.298,0.728193
2.3,0.740625
2.302,0.752708
2.304,0.764436
2.306,0.775801
2.308,0.7868
2.31,0.797425
2.312,0.807673
2.314,0.817536
2.316,0.827011
2.318,0.836092
2.32,0.844775
2.322,0.853055
2.324,0.860927
2.326,0.868388
2.328,0.875434
2.33,0.88206
2.332,0.888263
2.334,0.89404
2.336,0.899388
2.338,0.904303
2.34,0.908783
2.342,0.912825
2.344,0.916426
2.346,0.919586
2.348,0.922301
2.35,0.92457
2.352,0.926391
2.354,0.927763
2.356,0.928685
2.358,0.929157
2.36,0.929176
2.362,0.928744
2.364,0.927859
2.366,0.926522
2.368,0.924733
2.37,0.922493
2.372,0.919801
2.374,0.91666
2.376,0.913069
2.378,0.909031
2.38,0.904546
2.382,0.899617
2.384,0.894246
2.386,0.888435
2.388,0.882186
2.39,0.875502
2.392,0.868386
2.394,0.860841
2.396,0.85287
2.398,0.844477
2.4,0.835665
2.402,0.826439
2.404,0.816802
2.406,0.806759
2.408,0.796315
2.41,0.785474
2.412,0.774242
2.414,0.762623
2.416,0.750623
2.418,0.738247
2.42,0.725502
2.422,0.712393
2.424,0.698927
2.426,0.68511
2.428,0.670948
2.43,0.656448
2.432,0.641617
2.434,0.626462
2.436,0.610991
2.438,0.595211
2.44,0.579129
2.442,0.562754
2.444,0.546093
2.446,0.529154
2.448,0.511945
2.45,0.494476
2.452,0.476754
2.454,0.458788
2.456,0.440587
2.458,0.42216
2.46,0.403516
2.462,0.384664
2.464,0.365614
2.466,0.346375
2.468,0.326956
2.47,0.307368
2.472,0.287619
2.474,0.26772
2.476,0.247681
2.478,0.227512
2.48,0.207222
2.482,0.186823
2.484,0.166324
2.486,0.145736
2.488,0.125069
2.49,0.104334
2.492,0.0835403
2.494,0.0626997
2.496,0.0418223
2.498,0.0209189
2.5,0
2.502,-0.0209236
2.504,-0.0418412
2.506,-0.062742
2.508,-0.0836155
2.51,-0.104451
2.512,-0.125237
2.514,-0.145964
2.516,-0.16662
2.518,-0.187195
2.52,-0.207678
2.522,-0.228059
2.524,-0.248327
2.526,-0.268471
2.528,-0.288481
2.53,-0.308347
2.532,-0.328057
2.534,-0.347603
2.536,-0.366972
2.538,-0.386156
2.54,-0.405143
2.542,-0.423925
2.544,-0.442491
2.546,-0.460831
2.548,-0.478935
2.55,-0.496794
2.552,-0.514399
2.554,-0.531739
2.556,-0.548805
2.558,-0.565589
2.56,-0.582082
2.562,-0.598274
2.564,-0.614156
2.566,-0.629721
2.568,-0.644959
2.57,-0.659863
2.572,-0.674424
2.574,-0.688634
2.576,-0.702485
2.578,-0.71597
2.58,-0.729082
2.582,-0.741813
2.584,-0.754156
2.586,-0.766105
2.588,-0.777651
2.59,-0.78879
2.592,-0.799515
2.594,-0.80982
2.596,-0.819698
2.598,-0.829145
2.6,-0.838155
2.602,-0.846722
2.604,-0.854843
2.606,-0.862511
2.608,-0.869723
2.61,-0.876474
2.612,-0.882761
2.614,-0.888579
2.616,-0.893925
2.618,-0.898796
2.62,-0.903188
2.622,-0.9071
2.624,-0.910527
2.626,-0.913469
2.628,-0.915923
2.63,-0.917888
2.632,-0.919361
2.634,-0.920341
2.636,-0.920829
2.638,-0.920822
2.64,-0.920321
2.642,-0.919325
2.644,-0.917834
